sigla;codcls_mat;codmat;consumo_medio;desvio_padrao
EAC;30;90382;38.541666666666664;45.03619719704378
EAC;30;90383;23.863636363636363;33.06313650685602
EAC;30;90384;13.842105263157896;41.0342176426438
EAC;30;90385;141.75;96.81382477036358
EAC;30;90387;195.95833333333334;697.4701788337038
EAC;30;90388;433.7826086956522;622.0029199377341
EAC;30;90389;5304.125;2788.1761112192885
EAC;30;90393;1417.7083333333333;808.4199016098258
EAC;30;90399;23.652173913043477;33.809101377711585
EAC;30;90409;299.625;408.3168859450048
EAC;30;90411;-0.21052631578947367;16.078207982540363
EAC;30;90416;10.458333333333334;17.949153223739426
EAC;30;90418;4.0;
EAC;30;90422;1.1;4.357624225296267
EAC;30;90423;0.4;1.51657508881031
EAC;30;90425;2.0;
EAC;30;90440;1700.3333333333333;1090.5467183608118
EAC;30;90442;24.125;76.525268158084
EAC;30;90443;24.210526315789473;41.22105576761094
EAC;30;90444;901.0833333333334;512.1245531811716
EAC;30;90446;1647.7916666666667;960.780886171183
EAC;30;90447;28.52173913043478;28.402736048130347
EAC;30;90448;1226.4166666666667;793.0800122289689
EAC;30;90514;41.69565217391305;74.6649697482687
EAC;30;90515;32.08695652173913;37.6972545943676
EAC;30;90517;259.5833333333333;337.0645553788675
EAC;30;90518;49.52173913043478;91.44191875681992
EAC;30;90521;6.0;7.810249675906654
EAC;30;90522;0.0;1.4142135623730951
EAC;30;90523;150.625;93.28861830013254
EAC;30;90524;136.29166666666666;131.80337106154911
EAC;30;90525;217.58333333333334;154.7533568271634
EAC;30;90528;6.857142857142857;21.66477872867935
EAC;30;90532;1.5;0.7071067811865476
EAC;30;90535;42.166666666666664;92.6755287181487
EAC;30;90536;1.5909090909090908;2.557139229483025
EAC;30;90542;64.20833333333333;87.54029093070164
EAC;30;90543;1.2857142857142858;11.116268644263172
EAC;30;90544;25.125;40.7605014476131
EAC;30;90620;10.571428571428571;14.01020036565196
EAC;30;90621;58.708333333333336;84.07836880820936
EAC;30;90622;39.458333333333336;92.06518445322203
EAC;30;90654;227.33333333333334;135.75799012970828
EAC;30;90656;11.666666666666666;15.705625319186328
EAC;30;90660;640.0833333333334;404.4782916372609
EAC;30;90801;9.421052631578947;7.683429424371531
EAC;30;90871;0.6666666666666666;1.1547005383792517
EAC;30;90879;-1.0;1.4142135623730951
EAC;30;90891;1.4545454545454546;2.0670576365276494
EAC;30;90893;0.0;
EAC;30;90901;1.0555555555555556;2.6892426710490165
EAC;30;90902;56.916666666666664;57.902404145226136
EAC;30;90903;5.375;9.859061159994988
EAC;30;90905;10.291666666666666;11.17636935163016
EAC;30;91119;-51.041666666666664;2300.9128713766336
EAC;30;92017;57.78947368421053;103.47333470103322
EAC;30;502955;-14.08695652173913;81.43369474803539
EAC;30;502966;-0.3333333333333333;0.5773502691896258
EAC;30;507870;-275.5263157894737;776.3160416294565
EAC;30;508094;-16.863636363636363;103.21004724741604
EAC;30;510149;55.333333333333336;180.48674928278436
EAC;30;522519;-200.0;173.20508075688772
EAC;30;590219;0.0;0.0
EAC;30;590247;-5.5625;98.46283139675941
EAC;30;590251;150.76923076923077;257.03474273793995
EAC;30;590252;96.08333333333333;196.28991793787569
EAC;30;590360;0.0;
EAC;30;590362;-0.25;0.621581560508061
EAC;30;590363;162.20833333333334;1101.7070540624736
EAC;30;590364;0.0;2.8284271247461903
EAC;30;590365;631.2083333333334;1052.1293927354996
EAC;30;590372;39.63636363636363;56.2623723767008
EAC;30;590375;0.2;13.170312936948113
EAC;30;590376;-0.2;0.6324555320336759
EAC;30;590377;-5.642857142857143;11.971807542062136
EAC;30;590378;32.23076923076923;50.3192372858099
EAC;30;590380;7.105263157894737;60.065607405423414
EAC;30;590387;-13.2;139.33935963272236
EAC;30;590388;-40.6;90.78435988649147
EAC;30;590389;1782.1666666666667;2162.513064382083
EAC;30;590393;712.5;908.5301076583754
EAC;30;590409;581.25;881.8417609210554
EAC;30;590440;62.541666666666664;447.92206029782596
EAC;30;590444;99.25;220.7408280266583
EAC;30;590446;197.75;358.8318305400116
EAC;30;590448;593.7916666666666;638.0966247648015
EAC;30;590514;212.33333333333334;444.8360388382166
EAC;30;590517;-57.666666666666664;326.15889254841085
EAC;30;590518;229.375;455.8615171585412
EAC;30;590523;-1.7777777777777777;2.9486343354923554
EAC;30;590524;0.0;0.0
EAC;30;590525;212.04166666666666;343.98059590959315
EAC;30;590528;-3.769230769230769;8.525978400882076
EAC;30;590535;0.0;0.0
EAC;30;590542;0.0;0.0
EAC;30;590622;-3.466666666666667;18.015337381031223
EAC;30;590654;111.25;113.42848733510658
EAC;31;7237;2.0;
EAC;31;9534;0.0;
EAC;31;35808;6.142857142857143;7.010196655077312
EAC;31;38031;6.375;4.65794252556089
EAC;33;38032;42.1;17.111984104714452
EAC;33;38568;5368.125;1998.5335248626677
EAC;33;38588;61.470588235294116;31.263232492535906
EAC;33;38645;32.13333333333333;21.771103609623292
EAC;33;38652;199.2;38.86386496477159
EAC;35;1631;0.6666666666666666;1.1547005383792517
EAC;35;3365;17.0;1.4142135623730951
EAC;35;3564;6.166666666666667;5.115336417740935
